EPOCH                                       BR                     BT                     BN
dd-mm-yyyy hh:mm:ss.ms                      nT                     nT                     nT
26-06-2004 01:28:00.000              0.0740000               0.482000               0.172000
26-06-2004 01:29:00.000              0.0770000               0.487000               0.158000
26-06-2004 01:30:00.000              0.0750000               0.490000               0.166000
26-06-2004 01:31:00.000              0.0670000               0.488000               0.163000
26-06-2004 01:32:00.000              0.0780000               0.487000               0.163000
26-06-2004 01:33:00.000              0.0830000               0.491000               0.166000
26-06-2004 01:34:00.000              0.0840000               0.483000               0.170000
26-06-2004 01:35:00.000              0.0950000               0.484000               0.159000
26-06-2004 01:36:00.000               0.101000               0.488000               0.154000
26-06-2004 01:37:00.000               0.103000               0.491000               0.156000
26-06-2004 01:38:00.000              0.0980000               0.477000               0.158000
26-06-2004 01:39:00.000              0.0830000               0.475000               0.164000
26-06-2004 01:40:00.000              0.0660000               0.464000               0.208000
26-06-2004 01:41:00.000              0.0380000               0.439000               0.260000
26-06-2004 01:42:00.000              0.0280000               0.424000               0.262000
26-06-2004 01:43:00.000              0.0440000               0.410000               0.265000
26-06-2004 01:44:00.000              0.0400000               0.425000               0.237000
26-06-2004 01:45:00.000              0.0420000               0.426000               0.239000
26-06-2004 01:46:00.000              0.0290000               0.417000               0.257000
26-06-2004 01:47:00.000              0.0400000               0.431000               0.241000
26-06-2004 01:48:00.000              0.0380000               0.444000               0.238000
26-06-2004 01:49:00.000              0.0260000               0.414000               0.273000
26-06-2004 01:50:00.000              0.0270000               0.417000               0.263000
26-06-2004 01:51:00.000              0.0410000               0.436000               0.255000
26-06-2004 01:52:00.000              0.0330000               0.430000               0.237000
26-06-2004 01:53:00.000              0.0480000               0.435000               0.220000
26-06-2004 01:54:00.000              0.0490000               0.436000               0.222000
26-06-2004 01:55:00.000              0.0540000               0.442000               0.233000
26-06-2004 01:56:00.000              0.0550000               0.437000               0.231000
26-06-2004 01:57:00.000              0.0610000               0.430000               0.225000
26-06-2004 01:58:00.000              0.0650000               0.430000               0.221000
26-06-2004 01:59:00.000              0.0660000               0.430000               0.218000
26-06-2004 02:00:00.000              0.0560000               0.426000               0.236000
26-06-2004 02:01:00.000              0.0610000               0.412000               0.247000
26-06-2004 02:02:00.000              0.0650000               0.453000               0.197000
26-06-2004 02:03:00.000              0.0450000               0.473000               0.116000
26-06-2004 02:04:00.000              0.0380000               0.484000               0.104000
26-06-2004 02:05:00.000              0.0920000               0.454000               0.174000
26-06-2004 02:06:00.000              0.0720000               0.472000               0.140000
26-06-2004 02:07:00.000              0.0580000               0.467000               0.144000
26-06-2004 02:08:00.000              0.0840000               0.460000               0.164000
26-06-2004 02:09:00.000               0.131000               0.454000               0.175000
26-06-2004 02:10:00.000               0.118000               0.457000               0.162000
26-06-2004 02:11:00.000               0.111000               0.457000               0.165000
26-06-2004 02:12:00.000               0.105000               0.458000               0.168000
26-06-2004 02:13:00.000               0.107000               0.467000               0.161000
26-06-2004 02:14:00.000              0.0760000               0.471000               0.152000
26-06-2004 02:15:00.000              0.0880000               0.464000               0.162000
26-06-2004 02:16:00.000              0.0820000               0.467000               0.164000
26-06-2004 02:17:00.000              0.0900000               0.473000               0.153000
26-06-2004 02:18:00.000              0.0860000               0.465000               0.153000
26-06-2004 02:19:00.000              0.0800000               0.468000               0.169000
26-06-2004 02:20:00.000              0.0770000               0.468000               0.179000
26-06-2004 02:21:00.000              0.0820000               0.445000               0.211000
26-06-2004 02:22:00.000              0.0840000               0.436000               0.191000
26-06-2004 02:23:00.000              0.0960000               0.396000               0.220000
26-06-2004 02:24:00.000              0.0840000               0.407000               0.204000
26-06-2004 02:25:00.000              0.0860000               0.397000               0.190000
26-06-2004 02:26:00.000               0.106000               0.415000               0.149000
26-06-2004 02:27:00.000              0.0960000               0.444000               0.111000
26-06-2004 02:28:00.000              0.0860000               0.440000               0.103000
26-06-2004 02:29:00.000              0.0830000               0.437000              0.0970000
26-06-2004 02:30:00.000              0.0720000               0.443000              0.0870000
26-06-2004 02:31:00.000              0.0670000               0.466000              0.0350000
26-06-2004 02:32:00.000              0.0750000               0.457000              0.0200000
26-06-2004 02:33:00.000              0.0620000               0.451000              0.0260000
26-06-2004 02:34:00.000              0.0650000               0.439000            -0.00400000
26-06-2004 02:35:00.000              0.0540000               0.431000             0.00100000
